437	176	84	111
436	168	82	112
436	164	84	110
437	160	84	109
435	152	85	108
433	145	85	108
432	139	85	107
430	128	83	105
429	123	83	101
428	115	79	99
427	114	79	94
426	109	75	95
424	102	77	97
421	99	78	96
421	96	76	99
421	94	73	98
422	95	69	100
422	97	68	96
422	98	68	94
421	100	66	99
421	103	66	98
421	109	66	95
398	117	90	97
424	125	65	91
424	133	63	95
424	140	64	96
417	149	74	94
427	162	67	96
424	170	68	97
424	181	70	94
427	189	70	97
431	196	70	100
431	210	73	100
431	222	74	99
432	229	75	98
432	238	79	102
429	246	85	103
429	250	90	103
431	250	88	106
431	251	92	106
436	251	91	101
440	250	91	100
444	249	91	99
446	248	92	94
449	244	93	96
451	237	97	96
455	234	98	96
463	232	97	93
467	229	98	93
471	227	99	92
479	223	96	93
483	221	95	92
490	218	93	90
494	216	93	90
498	214	93	88
503	212	91	88
508	215	90	86
511	215	88	86
511	217	88	84
514	220	88	83
517	224	85	82
518	228	84	82
517	234	85	84
519	239	82	83
518	245	83	82
518	256	79	79
516	262	81	81
513	270	82	81
513	277	82	82
512	286	81	78
509	297	81	63
505	304	81	66
502	318	77	73
501	329	73	74
499	342	75	66
487	358	88	49
487	353	83	52
489	339	77	62
489	326	77	65
488	314	77	70
488	305	71	70
488	300	70	69
483	294	77	73
483	290	80	72
481	290	80	70
481	288	77	66
481	287	76	69
478	286	78	71
477	288	79	68
477	290	80	60
477	294	75	55
477	296	74	61
474	301	78	55
474	301	75	55
474	302	75	58
473	299	76	55
471	295	80	53
472	283	78	58
473	279	76	60
473	276	74	59
473	268	74	68
471	265	74	69
468	262	77	72
469	263	74	69
468	263	75	69
465	263	75	73
462	264	76	74
460	267	76	69
455	271	75	68
448	274	80	65
444	279	75	65
437	283	76	55
431	289	77	53
421	296	83	44
424	296	79	44
420	288	80	50
418	285	79	50
418	286	77	52
415	290	78	59
409	294	83	75
405	295	77	84
406	297	73	80
401	302	74	88
386	311	85	82
378	316	89	83
371	335	84	64
365	354	88	49
362	350	95	53
365	351	91	57
367	349	88	54
362	346	93	52
357	337	94	63
360	308	90	91
354	303	98	88
353	317	100	70
354	308	105	82
355	304	105	89
357	308	106	90
360	311	108	102
366	314	105	92
372	326	111	107
375	334	111	96
378	344	113	85
382	345	122	84
388	342	119	98
392	324	117	97
400	311	114	107
404	299	112	114
407	290	112	112
407	290	115	107
407	287	116	102
406	282	116	103
409	276	114	109
411	264	113	119
409	260	116	118
406	260	119	112
406	261	118	110
406	257	116	118
402	256	116	119
399	258	117	117
395	267	117	106
394	271	115	105
394	274	113	105
396	277	111	104
398	277	111	105
398	282	112	110
399	286	111	105
399	293	109	94
391	306	118	86
394	310	120	83
403	297	109	77
409	290	101	88
412	288	100	83
410	282	105	83
414	276	99	78
413	244	96	97
423	234	90	106
420	225	98	109
418	220	101	95
418	221	100	91
412	216	104	97
412	214	103	102
410	214	103	108
410	225	98	93
412	232	96	94
407	239	101	102
405	244	101	109
404	252	93	99
394	280	108	86
389	291	112	76
377	289	109	79
368	289	97	81
362	289	106	81
353	285	101	85
341	285	110	81
331	275	117	78
326	272	117	83
327	265	96	81
315	270	107	88
305	267	112	76
298	263	116	66
300	246	100	82
301	238	96	89
296	241	101	90
288	244	115	83
285	247	119	83
283	242	114	99
296	234	101	111
291	242	110	106
292	252	115	99
293	265	117	98
308	271	112	116
315	277	115	105
307	301	138	75
326	294	128	72
344	275	111	85
357	234	103	119
363	204	105	125
369	193	125	110
378	179	122	102
398	155	112	101
405	137	114	116
413	132	112	117
415	132	122	94
419	132	123	95
428	126	120	102
434	124	115	112
440	123	111	106
442	130	123	94
442	131	126	90
453	132	116	103
455	137	112	107
452	145	118	96
446	161	130	91
445	165	128	90
443	166	124	88
446	164	116	96
452	162	124	95
462	154	122	89
462	153	119	94
463	155	117	102
446	159	130	101
440	162	131	111
431	164	126	133
417	174	122	125
405	189	127	122
387	223	133	105
387	235	127	105
379	257	117	119
372	271	119	114
